id_smart;name;description;cod_cat_n1_smt;categoria_nivel_1;cod_cat_n2_smt;categoria_nivel_2;marca;formato;precio;image1;image2;image3;empresa;name_tottus;score_tottus;marca_tottus;formato_tottus;precio_tottus;name_lider;score_lider;marca_lider;formato_lider;precio_lider;name_jumbo;score_jumbo;marca_jumbo;formato_jumbo;precio_jumbo;flag_mmpp
L545622;Hamburguesa Vacuno, 100 g;Hamburguesa Congelada Vacuno La Crianza, 100g;C_001;Congelados;HYC_001;Hamburguesas y Churrascos;la crianza;100 g;950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742351a.jpg]&sink;;;Lider;;;;;;hamburguesa vacuno 100 g crianza 100 g;95.0;la crianza;100 g;950.0;;;;;;0
L545628;Hamburguesa de Vacuno Light Premium, 100 g;Hamburguesa Light Vacuno La Crianza, 100g;C_001;Congelados;HYC_001;Hamburguesas y Churrascos;la crianza;100 g;1090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742365a.jpg]&sink;;;Lider;;;;;;hamburguesa vacuno light premium 100 g crianza 100 g;95.0;la crianza;100 g;1090.0;;;;;;0
L545632;Hamburguesa de Pavo, 100 g;Hamburguesa Congelada Pavo La Crianza, 100g;C_001;Congelados;HYC_001;Hamburguesas y Churrascos;la crianza;100 g;950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742373a.jpg]&sink;;;Lider;;;;;;hamburguesa pavo 100 g crianza 100 g;95.0;la crianza;100 g;950.0;;;;;;0
L545636;Hamburguesa de Pollo Premium Bolsa, 100 g;Hamburguesa Congelada Pollo La Crianza, 100g;C_001;Congelados;HYC_001;Hamburguesas y Churrascos;la crianza;100 g;990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/742381a.jpg]&sink;;;Lider;;;;;;hamburguesa pollo premium bolsa 100 g crianza 100 g;95.0;la crianza;100 g;990.0;;;;;;0
L686482;Waffles Estilo Casero, 10 Un;no info;C_001;Congelados;H_001;Helados;great value;10 un;3090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743238a.jpg]&sink;;;Lider;;;;;;waffles estilo casero 10 great value 10;95.0;great value;10 un;3090.0;;;;;;0
L686484;Waffles Con Arándanos, 10 Un;Waffles Congelados en Caja Arándano Great Value, 350g;C_001;Congelados;H_001;Helados;great value;10 un;3090.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743240a.jpg]&sink;;;Lider;;;;;;waffles arándanos 10 great value 10;95.0;great value;10 un;3090.0;;;;;;0
L546153;Chocolate Sin Azucar Almendra, 75 g;Chocolate con Leche sin Azúcar Barra Almendras Quickbury, 75g;DYD_001;Desayunos y Dulces;CYC_001;Chocolates y Candy;quickbury;75 g;2950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743282a.jpg]&sink;;;Lider;;;;;;chocolate azucar almendra 75 g quickbury 75 g;95.0;quickbury;75 g;2950.0;;;;;;0
L546156;Chocolate Sin Azucar Blanco Frutilla, 75 g;Chocolate Blanco sin Azúcar Barra Fresa Quickbury, 75g;DYD_001;Desayunos y Dulces;CYC_001;Chocolates y Candy;quickbury;75 g;3550.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743288a.jpg]&sink;;;Lider;;;;;;chocolate azucar blanco frutilla 75 g quickbury 75 g;95.0;quickbury;75 g;3550.0;;;;;;0
L546157;Chocolate Bombón Sin Azucar, 180 g;Bombones de Chocolate Surtidos Pralinés y Chocolate Puro Entrelagos, 162g;DYD_001;Desayunos y Dulces;CYC_001;Chocolates y Candy;entrelagos;180 g;7050.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743290a.jpg]&sink;;;Lider;;;;;;chocolate bombón azucar 180 g entrelagos 180 g;95.0;entrelagos;180 g;7050.0;;;;;;0
L846269;Cereal Hojuelas Sabor Chocolate, 720 g;Cereal para Desayuno Caja Choco Hojuelas Lider, 720g;DYD_001;Desayunos y Dulces;CER_001;Cereales;lider;720 g;4590.0;https://images.lider.cl/wmtcl?source=url[file:/productos/743408a.jpg]&sink;;;Lider;;;;;;cereal hojuelas sabor chocolate 720 g lider 720 g;95.0;lider;720 g;4590.0;;;;;;1
L546675;Agua mineral sin gas, 1,5 L;Agua Mineral Natural sin Gas Puyehue, 1500ml;BYL_001;Bebidas y Licores;A_001;Aguas;puyehue;1,5 l;920.0;https://images.lider.cl/wmtcl?source=url[file:/productos/744185a.jpg]&sink;;;Lider;;;;;;agua mineral gas 15 l puyehue 15 l;95.0;puyehue;1,5 l;920.0;;;;;;0
L804927;Leche Bon Moments Mocaccino Caja, 200 ml;Leche Semidescremada Bon Moment Mocaccino Danone, 200ml;CO_001;Colaciones;LC_001;Leches Colación;danone;200 ml;660.0;https://images.lider.cl/wmtcl?source=url[file:/productos/744193a.jpg]&sink;;;Lider;;;;;;leche bon moments mocaccino caja 200 ml danone 200 ml;95.0;danone;200 ml;660.0;;;;;;0
L547101;Galletas Mega Duo Vainilla Crema Bolsa, 500 g;Galleta Sandwich Mega Duo Vainilla Gullón, 500g;DYD_001;Desayunos y Dulces;GYC_001;Galletas y Colaciones Dulces;gullon;500 g;2990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/744949a.jpg]&sink;;;Lider;;;;;;galletas mega duo vainilla crema bolsa 500 g gullon 500 g;95.0;gullon;500 g;2990.0;;;;;;0
L547102;Galletas Mega Duo Chocolate Bolsa, 500 g;Galleta Sandwich Rellena Mega Duo Chocolate Gullón, 500g;DYD_001;Desayunos y Dulces;GYC_001;Galletas y Colaciones Dulces;gullon;500 g;2990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/744951a.jpg]&sink;;;Lider;;;;;;galletas mega duo chocolate bolsa 500 g gullon 500 g;95.0;gullon;500 g;2990.0;;;;;;0
L547330;Crocante de Pollo Sabor Queso;Crocante de Pollo Queso Congelado Super Pollo, 100g;C_001;Congelados;HYC_001;Hamburguesas y Churrascos;super pollo;rocante de pollo sabor queso;550.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745397a.jpg]&sink;;;Lider;;;;;;crocante pollo sabor queso super pollo rocante pollo sabor queso;95.0;super pollo;rocante de pollo sabor queso;550.0;;;;;;0
L547335;Compota 100% Fruta Manzana - Pera, 90 g;Compota de Fruta Pera & Manzana Lider, 90g;CO_001;Colaciones;FC_001;Fruta Colación;lider;90 g;450.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745401a.jpg]&sink;;;Lider;;;;;;compota 100 fruta manzana pera 90 g lider 90 g;95.0;lider;90 g;450.0;;;;;;1
L547336;100% Fruta Durazno Y Manzana Pouch, 90 g;Compota de Fruta Durazno y Manzana Lider, 90g;CO_001;Colaciones;FC_001;Fruta Colación;lider;90 g;450.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745403a.jpg]&sink;;;Lider;;;;;;100 fruta durazno manzana pouch 90 g lider 90 g;95.0;lider;90 g;450.0;;;;;;1
L547337;Compota 100% Fruta Manzana, 90 g;Compota 100% Fruta Manzana Lider, 90g;CO_001;Colaciones;FC_001;Fruta Colación;lider;90 g;450.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745405a.jpg]&sink;;;Lider;;;;;;compota 100 fruta manzana 90 g lider 90 g;95.0;lider;90 g;450.0;;;;;;1
L547384;Plato Listo Crema de Tomate Caja, 380 g;Crema de Tomate Lista Wasil, 380g;PL_001;Platos Preparados;PI_001;Platos Listos Individuales;wasil;380 g;1850.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745476a.jpg]&sink;;;Lider;;;;;;plato listo crema tomate caja 380 g wasil 380 g;95.0;wasil;380 g;1850.0;;;;;;0
L547478;Pizza Española;Pizza a La Piedra Española Pf Listo!, 465g;PL_001;Platos Preparados;PF_001;Platos Listos Familiar;pf listo;izza española;3790.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745618a.jpg]&sink;;;Lider;;;;;;pizza española pf listo izza española;95.0;pf listo;izza española;3790.0;;;;;;0
L547555;Gin Bulldog, 750 ml;Gin London Dry Bulldog, 750ml;BYL_001;Bebidas y Licores;D_001;Destilados;bulldog;750 ml;20950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745760a.jpg]&sink;;;Lider;;;;;;gin bulldog 750 ml bulldog 750 ml;95.0;bulldog;750 ml;20950.0;;;;;;0
L547565;Vodka Premium Botella, 750 ml;Vodka Skyy, 750ml;BYL_001;Bebidas y Licores;D_001;Destilados;skyy;750 ml;11990.0;https://images.lider.cl/wmtcl?source=url[file:/productos/745778a.jpg]&sink;;;Lider;;;;;;vodka premium botella 750 ml skyy 750 ml;95.0;skyy;750 ml;11990.0;;;;;;0
L547909;Mermelada Damasco, 400 g;Mermelada Damasco Watt's, 400g;DYD_001;Desayunos y Dulces;DYM_001;Dulces Mermeladas y Manjar;watts;400 g;1950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/746391a.jpg]&sink;;;Lider;;;;;;mermelada damasco 400 g watts 400 g;95.0;watts;400 g;1950.0;;;;;;0
L547910;Mermelada Mora, 400 g;Mermelada Mora Watt's, 400g;DYD_001;Desayunos y Dulces;DYM_001;Dulces Mermeladas y Manjar;watts;400 g;1950.0;https://images.lider.cl/wmtcl?source=url[file:/productos/746393a.jpg]&sink;;;Lider;;;;;;mermelada mora 400 g watts 400 g;95.0;watts;400 g;1950.0;;;;;;0
